"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2017","100.05","100.12","102.00","97.70","4.98K","-0.07%"
"May 20, 2017","100.12","98.50","106.30","98.00","4.66K","1.64%"
"May 19, 2017","98.50","92.46","102.87","86.00","7.00K","6.53%"
"May 18, 2017","92.46","84.55","93.27","84.55","3.35K","9.36%"
"May 17, 2017","84.55","87.42","91.50","80.08","4.85K","-3.28%"
"May 16, 2017","87.42","94.17","94.25","86.35","2.83K","-7.17%"
"May 15, 2017","94.17","90.66","94.17","70.10","3.47K","3.87%"
"May 14, 2017","90.66","91.19","93.50","89.10","1.38K","-0.58%"
"May 13, 2017","91.19","88.36","92.00","85.00","2.48K","3.20%"
"May 12, 2017","88.36","92.30","94.60","87.19","2.63K","-4.27%"
"May 11, 2017","92.30","93.00","95.47","90.00","2.20K","-0.75%"
"May 10, 2017","93.00","92.83","97.61","90.94","3.04K","0.18%"
"May 09, 2017","92.83","100.39","103.00","78.50","10.20K","-7.53%"
"May 08, 2017","100.39","109.00","110.16","96.31","8.93K","-7.90%"
"May 07, 2017","109.00","101.06","116.30","98.99","8.98K","7.86%"
"May 06, 2017","101.06","99.53","103.60","97.18","5.41K","2.20%"
"May 05, 2017","98.88","97.54","108.69","93.00","10.09K","1.37%"
"May 04, 2017","97.54","97.65","101.85","92.87","9.68K","-0.11%"
"May 03, 2017","97.65","92.71","98.00","90.93","6.44K","5.33%"
"May 02, 2017","92.71","94.73","96.83","90.10","6.52K","-2.13%"
"May 01, 2017","94.73","98.17","103.50","90.05","9.91K","-3.50%"
"Apr 30, 2017","98.17","102.00","105.50","95.59","6.54K","-3.75%"
"Apr 29, 2017","102.00","84.97","109.00","84.97","12.51K","20.04%"
"Apr 28, 2017","84.97","86.06","87.21","83.00","4.71K","-1.27%"
"Apr 27, 2017","86.06","78.01","88.73","76.54","8.27K","10.32%"
"Apr 26, 2017","78.01","78.01","78.52","76.50","3.23K","0.00%"
"Apr 25, 2017","78.01","77.89","79.00","76.40","2.64K","0.15%"
"Apr 24, 2017","77.89","76.69","77.89","75.86","3.25K","1.56%"
"Apr 23, 2017","76.69","77.16","78.74","76.50","4.77K","-0.61%"
"Apr 22, 2017","77.16","76.45","77.69","75.41","3.37K","0.93%"
